Name,Status,Tenant,Site,Location,Rack,Role,Manufacturer,Type,IP Address,ID,Tenant Group,Platform,Serial number,Asset tag,Region,Site Group,Position (U),Rack face,Airflow,IPv4 Address,IPv6 Address,Cluster,Virtual chassis,VC Position,VC Priority,Description,Comments,Contacts,Tags,Created,Last updated,Zabbix,Librenms,DNS Entry,Syslog Server,Operating System,High Availability,Backup,Offsite Backup
CR3-C01,Active,MGHPCC,Main Building,102 - Classroom,CR3-C01,Fiber Plant,Systimax,2U Fiber Enclosure,,182,,,,,Holyoke,100 Bigelow Street,42,Front,,,,,,,,,,,,2019-12-19 00:00,2019-12-20 20:28,,,,,,,,
CR301-U42-ppnl-0.1-24,Active,MGHPCC,Main Building,102 - Classroom,CR3-C01,Fiber Plant,Systimax,24 Strand SM Cassette,,183,,,,,Holyoke,100 Bigelow Street,,,,,,,,,,,,,,2019-12-19 00:00,2019-12-20 20:28,,,,,,,,
1172-2,Active,MGHPCC,Main Building,102 - Classroom,Classroom Jacks,Copper Plant,Systimax,1 Port Copper Data Jack,,891,,,,,Holyoke,100 Bigelow Street,9,Front,,,,,,,,,,,,2021-12-16 00:00,2022-04-28 18:39,False,False,False,False,,None,None,False
CR3-C01-04,Active,MGHPCC,Main Building,102 - Classroom,Classroom Jacks,Copper Plant,Systimax,4 Port Copper Data Jack,,1577,,,,,Holyoke,100 Bigelow Street,,Front,,,,,,,,,,,,2022-05-13 00:00,2022-05-13 19:50,False,False,False,False,,None,None,False
SEPC8F9F9695446,Active,MGHPCC,Main Building,102 - Classroom,Classroom Jacks,Phone,Cisco,7942,,1565,,,C8F9F9695446,,Holyoke,100 Bigelow Street,10,Front,,,,,,,,,[102] Classroom Lab,,,2022-04-21 00:00,2022-04-21 15:07,False,False,False,False,,None,None,False
1156-2,Active,MGHPCC,Main Building,103 - Meeting Room,Meeting Room Jacks,Copper Plant,Systimax,4 Port Copper Data Jack,,559,,,,,Holyoke,100 Bigelow Street,9,Front,,,,,,,,,,,,2020-09-09 00:00,2020-09-09 17:23,,,,,,,,
1149-2,Active,MGHPCC,Main Building,103 - Meeting Room,Meeting Room Jacks,Copper Plant,Systimax,4 Port Copper Data Jack,,554,,,,,Holyoke,100 Bigelow Street,4,Front,,,,,,,,,,,,2020-09-09 00:00,2020-09-09 17:17,,,,,,,,
MPMR Mac Mini,Active,MGHPCC,Main Building,103 - Meeting Room,Meeting Room Jacks,Desktop,Apple,Mac Mini (Late 2012)`,,722,,,C07KC02DDY3G,,Holyoke,100 Bigelow Street,13,Front,,,,,,,,,,,,2021-03-10 00:00,2021-03-10 13:36,,,,,,,,
1157-2,Active,MGHPCC,Main Building,103 - Meeting Room,Meeting Room Jacks,Copper Plant,Systimax,4 Port Copper Data Jack,,560,,,,,Holyoke,100 Bigelow Street,10,Front,,,,,,,,,,,,2020-09-09 00:00,2020-09-09 17:23,,,,,,,,
1145-2,Active,MGHPCC,Main Building,103 - Meeting Room,Meeting Room Jacks,Copper Plant,Systimax,4 Port Copper Data Jack,,551,,,,,Holyoke,100 Bigelow Street,1,Front,,,,,,,,,,,,2020-09-09 00:00,2020-09-09 17:06,,,,,,,,
1154-2,Active,MGHPCC,Main Building,103 - Meeting Room,Meeting Room Jacks,Copper Plant,Systimax,4 Port Copper Data Jack,,557,,,,,Holyoke,100 Bigelow Street,7,Front,,,,,,,,,,,,2020-09-09 00:00,2020-09-09 17:20,,,,,,,,
1239-2,Active,MGHPCC,Main Building,103 - Meeting Room,Meeting Room Jacks,Copper Plant,Systimax,1 Port Copper Data Jack,,871,,,,,Holyoke,100 Bigelow Street,21,Front,,,,,,,,,,,,2021-12-16 00:00,2022-08-04 14:44,False,False,False,False,,None,None,False
1238-2,Active,MGHPCC,Main Building,103 - Meeting Room,Meeting Room Jacks,Copper Plant,Systimax,1 Port Copper Data Jack,,870,,,,,Holyoke,100 Bigelow Street,20,Front,,,,,,,,,,,,2021-12-16 00:00,2022-08-04 14:38,False,False,False,False,,None,None,False
SEP5C5015444428 (MPPMS East Wall),Active,MGHPCC,Main Building,103 - Meeting Room,Meeting Room Jacks,Phone,Cisco,7942,,1563,,,5C5015444428,,Holyoke,100 Bigelow Street,16,Front,,,,,,,,,[103] Multipurpose Public Meeting Space,,,2022-04-21 00:00,2022-08-04 14:34,False,False,False,False,,None,None,False
1155-2,Active,MGHPCC,Main Building,103 - Meeting Room,Meeting Room Jacks,Copper Plant,Systimax,4 Port Copper Data Jack,,558,,,,,Holyoke,100 Bigelow Street,8,Front,,,,,,,,,,,,2020-09-09 00:00,2020-09-09 17:22,,,,,,,,
1164-2,Active,MGHPCC,Main Building,103 - Meeting Room,Meeting Room Jacks,Copper Plant,Systimax,2 Port Copper Data Jack,,899,,,,,Holyoke,100 Bigelow Street,19,Front,,,,,,,,,,,,2021-12-16 00:00,2022-05-02 14:11,False,False,False,False,,None,None,False
1160-2,Active,MGHPCC,Main Building,103 - Meeting Room,Meeting Room Jacks,Copper Plant,Systimax,4 Port Copper Data Jack,,562,,,,,Holyoke,100 Bigelow Street,12,Front,,,,,,,,,,,,2020-09-09 00:00,2020-09-09 17:14,,,,,,,,
ExecutiveHD01,Active,MGHPCC,Main Building,103 - Meeting Room,Meeting Room Jacks,Other,Revolabs,Executive HD,,2267,,,501050202216,,Holyoke,100 Bigelow Street,27,Front,,,,,,,,,,,,2022-08-11 19:22,2022-08-11 19:22,False,False,False,False,,None,None,False
MIX-02,Active,MGHPCC,Main Building,103 - Meeting Room,Meeting Room Jacks,Other,Biamp,Nexia TC,,2266,,,,,Holyoke,100 Bigelow Street,26,Front,,,,,,,,,,,,2022-08-11 19:08,2022-08-11 19:08,False,False,False,False,,None,None,False
MIX-01,Active,MGHPCC,Main Building,103 - Meeting Room,Meeting Room Jacks,Other,Biamp,Nexia TC,,2265,,,,,Holyoke,100 Bigelow Street,25,Front,,,,,,,,,,,,2022-08-11 19:08,2022-08-11 19:08,False,False,False,False,,None,None,False
ctrl-01,Active,MGHPCC,Main Building,103 - Meeting Room,Meeting Room Jacks,Other,Crestron,AV2,192.168.13.14/24,2263,,,,,Holyoke,100 Bigelow Street,22,Front,,192.168.13.14/24,,,,,,,,,,2022-08-11 18:45,2022-08-11 19:06,False,False,False,False,,None,None,False
AV-SF100D-08P,Active,MGHPCC,Main Building,103 - Meeting Room,Meeting Room Jacks,Access Switch,Cisco,SF100D-08P,,2264,,,,,Holyoke,100 Bigelow Street,24,Front,,,,,,,,,,,,2022-08-11 18:48,2022-08-11 18:48,False,False,False,False,,None,None,False
1159-2,Active,MGHPCC,Main Building,103 - Meeting Room,Meeting Room Jacks,Copper Plant,Systimax,4 Port Copper Data Jack,,561,,,,,Holyoke,100 Bigelow Street,11,Front,,,,,,,,,,,,2020-09-09 00:00,2020-09-09 17:22,,,,,,,,
1146-2,Active,MGHPCC,Main Building,103 - Meeting Room,Meeting Room Jacks,Copper Plant,Systimax,4 Port Copper Data Jack,,552,,,,,Holyoke,100 Bigelow Street,2,Front,,,,,,,,,,,,2020-09-09 00:00,2020-09-09 17:06,,,,,,,,
MPMR iPad 2,Active,MGHPCC,Main Building,103 - Meeting Room,Meeting Room Jacks,Tablet,Apple,"iPad (7th generation, Wi-Fi)",,725,,,DMRZNJU1MF3M,,Holyoke,100 Bigelow Street,15,Front,,,,,,,,,,,,2021-03-10 00:00,2021-03-10 13:47,,,,,,,,
SEPC8F9F969F8B8 (MPPMS Northwest Wall),Active,MGHPCC,Main Building,103 - Meeting Room,Meeting Room Jacks,Phone,Cisco,7942,,1570,,,,,Holyoke,100 Bigelow Street,17,Front,,,,,,,,,[103] Multipurpose Public Meeting Space,,,2022-04-21 00:00,2022-08-04 14:45,False,False,False,False,,None,None,False
1148-2,Active,MGHPCC,Main Building,103 - Meeting Room,Meeting Room Jacks,Copper Plant,Systimax,4 Port Copper Data Jack,,553,,,,,Holyoke,100 Bigelow Street,3,Front,,,,,,,,,,,,2020-09-09 00:00,2020-09-09 17:16,,,,,,,,
SW-01a,Active,MGHPCC,Main Building,103 - Meeting Room,Meeting Room Jacks,Other,Crestron,DM-MD8X8,,2268,,,,,Holyoke,100 Bigelow Street,28,Front,,,,,,,,,,,,2022-08-11 19:30,2022-08-11 19:30,False,False,False,False,,None,None,False
DMP-02,Active,MGHPCC,Main Building,103 - Meeting Room,Meeting Room Jacks,Other,Cisco,DMP-4310,,2269,,,,,Holyoke,100 Bigelow Street,31,Front,,,,,,,,,Kiosk,,,2022-08-11 19:46,2022-08-11 19:46,False,False,False,False,,None,None,False
DMP-01,Active,MGHPCC,Main Building,103 - Meeting Room,Meeting Room Jacks,Other,Cisco,DMP-4310,,2270,,,,,Holyoke,100 Bigelow Street,32,Front,,,,,,,,,System,,,2022-08-11 19:47,2022-08-11 19:47,False,False,False,False,,None,None,False
MPMR iPad 1,Active,MGHPCC,Main Building,103 - Meeting Room,Meeting Room Jacks,Tablet,Apple,"iPad (7th generation, Wi-Fi)",,724,,,DMRZNLT0MF3M,,Holyoke,100 Bigelow Street,14,Front,,,,,,,,,,,,2021-03-10 00:00,2021-03-10 13:47,,,,,,,,
c40-01,Active,MGHPCC,Main Building,103 - Meeting Room,Meeting Room Jacks,Other,Cisco,C40,192.168.13.18/24,2271,,,,,Holyoke,100 Bigelow Street,33,Front,,192.168.13.18/24,,,,,,,,,,2022-08-11 20:01,2022-08-11 20:10,False,False,False,False,,None,None,False
1150-2,Active,MGHPCC,Main Building,103 - Meeting Room,Meeting Room Jacks,Copper Plant,Systimax,4 Port Copper Data Jack,,555,,,,,Holyoke,100 Bigelow Street,5,Front,,,,,,,,,,,,2020-09-09 00:00,2020-09-09 17:18,,,,,,,,
1151-2,Active,MGHPCC,Main Building,103 - Meeting Room,Meeting Room Jacks,Copper Plant,Systimax,4 Port Copper Data Jack,,556,,,,,Holyoke,100 Bigelow Street,6,Front,,,,,,,,,,,,2020-09-09 00:00,2020-09-09 17:19,,,,,,,,
1163-2,Active,MGHPCC,Main Building,103 - Meeting Room,Meeting Room Jacks,Copper Plant,Systimax,2 Port Copper Data Jack,,898,,,,,Holyoke,100 Bigelow Street,18,Front,,,,,,,,,,,,2021-12-16 00:00,2022-05-02 14:04,False,False,False,False,,None,None,False
uri-exos01,Active,MGHPCC,Main Building,104 - Sandbox,SB-C06,Storage Server,Seagate,Exos E 4U106,,4431,,,,,Holyoke,100 Bigelow Street,2,Front,Front to rear,,,,,,,,,,,2023-03-23 15:01,2023-03-23 15:01,False,False,False,False,,None,None,False
R12-PA-C08-BA2-deviceID6,Active,MGHPCC,Main Building,104 - Sandbox,SB-C08,Busplug,Starline,Busplug 30amp Single Feed,,4116,,,,,Holyoke,100 Bigelow Street,1,Front,,,,,,,,,,,Power,2023-01-05 16:22,2023-01-05 16:22,False,False,False,False,,None,None,False
SBC01-U42-ppnl-1.1-24,Active,MGHPCC,Main Building,104 - Sandbox,SB-C01,Fiber Plant,Systimax,24 Strand SM Cassette,,180,,,,,Holyoke,100 Bigelow Street,,,,,,,,,,,,,,2019-12-19 00:00,2021-02-25 18:41,,,,,,,,
SB-C01 TO ER2-C06 (1-24),Active,MGHPCC,Main Building,104 - Sandbox,SB-C01,Copper Plant,Systimax,1U Copper Enclosure,,207,,,,,Holyoke,100 Bigelow Street,40,Front,,,,,,,,,,,,2019-12-20 00:00,2021-02-25 18:40,,,,,,,,
SB-C01,Active,MGHPCC,Main Building,104 - Sandbox,SB-C01,Fiber Plant,Systimax,2U Fiber Enclosure,,178,,,,,Holyoke,100 Bigelow Street,43,Front,,,,,,,,,,,,2019-12-19 00:00,2021-02-25 18:41,,,,,,,,
SBC01-U42-ppnl-0.1-24,Active,MGHPCC,Main Building,104 - Sandbox,SB-C01,Fiber Plant,Systimax,24 Strand SM Cassette,,179,,,,,Holyoke,100 Bigelow Street,,,,,,,,,,,,,,2019-12-19 00:00,2021-02-25 18:41,,,,,,,,
R12-PA-C07-BA1-deviceID5,Active,MGHPCC,Main Building,104 - Sandbox,SB-C07,Busplug,Starline,Busplug 30amp Single Feed,,4115,,,,,Holyoke,100 Bigelow Street,1,Front,,,,,,,,,,,Power,2023-01-05 16:20,2023-01-05 16:20,False,False,False,False,,None,None,False
SBC01-U42-ppnl-4.1-24,Active,MGHPCC,Main Building,104 - Sandbox,SB-C01,Fiber Plant,Systimax,24 Strand SM Cassette,,181,,,,,Holyoke,100 Bigelow Street,,,,,,,,,,,,,,2019-12-19 00:00,2021-02-25 18:41,,,,,,,,
R12-PA-C06-BA1-deviceID4,Active,MGHPCC,Main Building,104 - Sandbox,SB-C06,Busplug,Starline,Busplug 30amp Single Feed,,4114,,,,,Holyoke,100 Bigelow Street,1,Front,,,,,,,,,,,Power,2023-01-05 16:19,2023-01-05 16:19,False,False,False,False,,None,None,False
1144-2,Active,MGHPCC,Main Building,104 - Sandbox,SB-C01,Copper Plant,Systimax,1 Port Copper Data Jack,,909,,,,,Holyoke,100 Bigelow Street,1,Front,,,,,,,,,,,,2021-12-16 00:00,2022-10-21 12:01,False,False,False,False,,None,None,False
iomic-sw1,Active,,Main Building,104 - Sandbox,SB-C04,Access Switch,Cisco,Catalyst 2960 SI,,694,,,,,Holyoke,100 Bigelow Street,31,Rear,,,,,,,,,,,,2021-02-25 00:00,2021-02-25 20:01,,,,,,,,
R12-PA-C05-BA1-deviceID3,Active,MGHPCC,Main Building,104 - Sandbox,SB-C05,Busplug,Starline,Busplug 30amp Single Feed,,4113,,,,,Holyoke,100 Bigelow Street,1,Front,,,,,,,,,,,Power,2023-01-05 16:17,2023-01-05 16:17,False,False,False,False,,None,None,False
R12-PA-C01-BA2-deviceID5,Active,MGHPCC,Main Building,104 - Sandbox,SB-C01,Busplug,Starline,Busplug 30amp Single Feed,,4109,,,,,Holyoke,100 Bigelow Street,2,Front,,,,,,,,,,,Power,2023-01-05 15:41,2023-01-05 15:41,False,False,False,False,,None,None,False
SANDBOX-3560-MEETME,Active,MGHPCC,Main Building,104 - Sandbox,SB-C01,Access Switch,Cisco,Cisco Catalyst 3560X-48T-L Switch,,693,,,FDO17201KY2,,Holyoke,100 Bigelow Street,38,Front,,,,,,,,,,,,2021-02-25 00:00,2021-02-25 18:44,,,,,,,,
SB-C01-A,Active,MGHPCC,Main Building,104 - Sandbox,SB-C01,PDU,Server Technology,CWG-24V54358A9/BB,,2700,,,ADXE0000250,,Holyoke,100 Bigelow Street,,,,,,,,,,,,,,2022-09-06 12:40,2023-03-09 20:21,False,False,False,False,,None,None,False
R12-PA-C02-BA2-deviceID4,Active,MGHPCC,Main Building,104 - Sandbox,SB-C02,Busplug,Starline,Busplug 30amp Single Feed,,4110,,,,,Holyoke,100 Bigelow Street,1,Front,,,,,,,,,,,Power,2023-01-05 15:54,2023-01-05 15:54,False,False,False,False,,None,None,False
R12-PA-C04-BA2-deviceID2,Active,MGHPCC,Main Building,104 - Sandbox,SB-C04,Busplug,Starline,Busplug 30amp Single Feed,,4112,,,,,Holyoke,100 Bigelow Street,1,Front,,,,,,,,,,,,2023-01-05 15:58,2023-01-05 15:58,False,False,False,False,,None,None,False
SB01-U40-ppnl-0.1-24,Active,MGHPCC,Main Building,104 - Sandbox,SB-C01,Copper Plant,Systimax,24 Port Copper Cassette,,208,,,,,Holyoke,100 Bigelow Street,,,,,,,,,,,,,,2019-12-20 00:00,2021-02-25 18:47,,,,,,,,
R12-PA-C03-BA2-deviceID3,Active,MGHPCC,Main Building,104 - Sandbox,SB-C03,Busplug,Starline,Busplug 30amp Single Feed,,4111,,,,,Holyoke,100 Bigelow Street,1,Front,,,,,,,,,,,Power,2023-01-05 15:56,2023-01-05 15:56,False,False,False,False,,None,None,False
SB-06-A,Active,MGHPCC,Main Building,104 - Sandbox,SB-C06,PDU,Server Technology,C3WG36RL-GPJE2NT2,,4176,,,APXA0000215,,Holyoke,100 Bigelow Street,,,,,,,,,,,,,Power,2023-02-02 14:10,2023-05-03 15:18,False,False,False,False,,None,None,False
sandbox-zda01,Active,MGHPCC,Main Building,104 - Sandbox,SB-C01,Access Switch,Cisco,C9200L-48T-4X,10.66.5.26/24,4435,,,,,Holyoke,100 Bigelow Street,37,Front,,10.66.5.26/24,,,,,,,,,,2023-03-23 17:31,2023-05-02 21:51,False,False,False,False,,None,None,False
SEPC8F9F969DDFC,Active,,Main Building,104 - Sandbox,SB-C01,Phone,Cisco,7942,,1567,,,C8F9F969DDFC,,Holyoke,100 Bigelow Street,3,Front,,,,,,,,,[104] Sandbox,,,2022-04-21 00:00,2023-03-23 17:29,False,False,False,False,,None,None,False
uri-storcon1,Active,MGHPCC,Main Building,104 - Sandbox,SB-C06,Storage Server,Dell,PowerEdge R6515,,4433,,,,,Holyoke,100 Bigelow Street,8,Front,Front to rear,,,,,,,,,,,2023-03-23 15:08,2023-03-23 15:09,False,False,False,False,,None,None,False
uri-mon0,Active,MGHPCC,Main Building,104 - Sandbox,SB-C06,Storage Server,Dell,PowerEdge R6515,,4434,,,,,Holyoke,100 Bigelow Street,9,Front,Front to rear,,,,,,,,,,,2023-03-23 15:08,2023-03-23 15:08,False,False,False,False,,None,None,False
uri-storcon0,Active,MGHPCC,Main Building,104 - Sandbox,SB-C06,Storage Server,Dell,PowerEdge R6515,,4432,,,,,Holyoke,100 Bigelow Street,7,Front,Front to rear,,,,,,,,,,,2023-03-23 15:05,2023-03-23 15:05,False,False,False,False,,None,None,False
1124-2,Active,MGHPCC,Main Building,151 - HVAC 3,HVAC 3 - 1,Copper Plant,Systimax,2 Port Copper Data Jack,,596,,,,,Holyoke,100 Bigelow Street,1,Front,,,,,,,,,,,,2020-10-05 00:00,2020-10-05 12:54,,,,,,,,
1126-2,Active,MGHPCC,Main Building,152 - ER2,ER2-Wall Jacks,Copper Plant,Systimax,1 Port Copper Data Jack,,568,,,,,Holyoke,100 Bigelow Street,2,Front,,,,,,,,,,,,2020-09-16 00:00,2020-09-16 15:18,,,,,,,,
APa49bcd2c814c,Active,MGHPCC,Main Building,152 - ER2,ER2 - Ceiling,Access Point,Cisco,C9115AXI-B,,1519,,,FJC254713CM,,Holyoke,100 Bigelow Street,1,Front,,,,,,,,,,,,2022-03-10 00:00,2022-05-25 13:30,False,False,False,False,,None,None,False
1025-2,Active,MGHPCC,Main Building,152 - ER2,ER2-Wall Jacks,Copper Plant,Systimax,1 Port Copper Data Jack,,566,,,,,Holyoke,100 Bigelow Street,5,Front,,,,,,,,,,,,2020-09-16 00:00,2020-09-16 15:13,,,,,,,,
1024-2,Active,MGHPCC,Main Building,152 - ER2,ER2-Wall Jacks,Copper Plant,Systimax,1 Port Copper Data Jack,,565,,,,,Holyoke,100 Bigelow Street,6,Front,,,,,,,,,,,,2020-09-16 00:00,2020-09-16 15:13,,,,,,,,
1125-2,Active,MGHPCC,Main Building,152 - ER2,ER2-Wall Jacks,Copper Plant,Systimax,1 Port Copper Data Jack,,567,,,,,Holyoke,100 Bigelow Street,3,Front,,,,,,,,,,,,2020-09-16 00:00,2020-09-16 15:14,,,,,,,,
1127-2,Active,MGHPCC,Main Building,152 - ER2,ER2-Wall Jacks,Copper Plant,Systimax,2 Port Copper Data Jack,,563,,,,,Holyoke,100 Bigelow Street,1,Front,,,,,,,,,,,,2020-09-16 00:00,2020-09-16 13:48,,,,,,,,
1128-2,Active,MGHPCC,Main Building,152 - ER2,ER2-Wall Jacks,Copper Plant,Systimax,1 Port Copper Data Jack,,912,,,,,Holyoke,100 Bigelow Street,7,Front,,,,,,,,,,,,2021-12-16 00:00,2022-05-25 12:54,False,False,False,False,,None,None,False
pxg600e-01-8c-a2,Active,MGHPCC,Main Building,153 - Electrical Room,SUB-NC1,Other,Eaton,PXG600E,10.1.5.150/22,2478,,,111110-101538,,Holyoke,100 Bigelow Street,2,Front,,10.1.5.150/22,,,,,,,,,,2022-08-18 17:09,2022-08-18 17:31,False,False,False,False,,None,None,False
unlabeled (SUB-GC),Active,MGHPCC,Main Building,153 - Electrical Room,Electrical 1,Copper Plant,Systimax,2 Port Copper Data Jack,,617,,,,,Holyoke,100 Bigelow Street,2,Front,,,,,,,,,,,,2020-10-05 00:00,2020-10-05 14:11,,,,,,,,
APa49bcd2c8630,Active,MGHPCC,Main Building,153 - Electrical Room,Electrical Room - Ceiling,Access Point,Cisco,C9115AXI-B,,1528,,,FJC254713CE,,Holyoke,100 Bigelow Street,2,Front,,,,,,,,,,,,2022-03-10 00:00,2022-05-25 14:50,False,False,False,False,,None,None,False
1085-1,Active,MGHPCC,Main Building,153 - Electrical Room,Electrical 1,Copper Plant,Systimax,2 Port Copper Data Jack,,610,,,,,Holyoke,100 Bigelow Street,9,Front,,,,,,,,,,,,2020-10-05 00:00,2020-10-05 13:58,,,,,,,,
1095-1,Active,MGHPCC,Main Building,153 - Electrical Room,SUB-GF,Copper Plant,Systimax,2 Port Copper Data Jack,,620,,,,,Holyoke,100 Bigelow Street,4,Front,,,,,,,,,,,,2020-10-05 00:00,2022-12-15 17:51,,,,,,,,
1121-2,Active,MGHPCC,Main Building,153 - Electrical Room,Electrical Room - Ceiling,Copper Plant,Systimax,1 Port Copper Data Jack,,910,,,,,Holyoke,100 Bigelow Street,3,Front,,,,,,,,,,,,2021-12-16 00:00,2022-05-25 14:57,False,False,False,False,,None,None,False
unlabeled (SUB-GF),Active,MGHPCC,Main Building,153 - Electrical Room,Electrical 1,Copper Plant,Systimax,2 Port Copper Data Jack,,616,,,,,Holyoke,100 Bigelow Street,3,Front,,,,,,,,,,,,2020-10-05 00:00,2020-10-05 14:10,,,,,,,,
APa49bcd2c629c,Active,MGHPCC,Main Building,153 - Electrical Room,Electrical Room - Ceiling,Access Point,Cisco,C9115AXI-B,,1520,,,FJC254713D5,,Holyoke,100 Bigelow Street,5,Front,,,,,,,,,,,,2022-03-10 00:00,2022-05-31 17:23,False,False,False,False,,None,None,False
1085-2,Active,MGHPCC,Main Building,153 - Electrical Room,SUB-NC1,Copper Plant,Systimax,2 Port Copper Data Jack,,928,,,,,Holyoke,100 Bigelow Street,1,Front,,,,,,,,,,,,2021-12-16 00:00,2022-08-18 17:08,False,False,False,False,,None,None,False
1087-2,Active,MGHPCC,Main Building,153 - Electrical Room,SUB-GC,Copper Plant,Systimax,2 Port Copper Data Jack,,930,,,,,Holyoke,100 Bigelow Street,1,Front,,,,,,,,,,,,2021-12-16 00:00,2022-08-18 16:47,False,False,False,False,,None,None,False
1083-1,Active,MGHPCC,Main Building,153 - Electrical Room,Electrical 1,Copper Plant,Systimax,2 Port Copper Data Jack,,795,,,,,Holyoke,100 Bigelow Street,1,Front,,,,,,,,,,,,2021-12-16 00:00,2021-12-28 18:13,False,False,False,False,,None,None,False
1050-1,Active,MGHPCC,Main Building,153 - Electrical Room,Electrical 1,Copper Plant,Systimax,2 Port Copper Data Jack,,613,,,,,Holyoke,100 Bigelow Street,6,Front,,,,,,,,,,,,2020-10-05 00:00,2020-10-05 14:03,,,,,,,,
pxg400e-01-90-10,Active,MGHPCC,Main Building,153 - Electrical Room,SUB-GC,Power Meter,Eaton,PXG400E,10.1.5.155/22,2448,,,111213-102416,,Holyoke,100 Bigelow Street,2,Front,,10.1.5.155/22,,,,,,,,,,2022-08-18 14:33,2023-07-13 17:22,False,False,False,False,,None,None,False
1119-1 (ceiling),Active,MGHPCC,Main Building,153 - Electrical Room,Electrical Room - Ceiling,Copper Plant,Systimax,1 Port Copper Data Jack,,604,,,,,Holyoke,100 Bigelow Street,6,Front,,,,,,,,,,,,2020-10-05 00:00,2022-05-31 17:36,,,,,,,,
unlabeled (SUB-NC!),Active,MGHPCC,Main Building,153 - Electrical Room,Electrical 1,Copper Plant,Systimax,2 Port Copper Data Jack,,615,,,,,Holyoke,100 Bigelow Street,4,Front,,,,,,,,,,,,2020-10-05 00:00,2020-10-05 14:08,,,,,,,,
1121-1,Active,MGHPCC,Main Building,153 - Electrical Room,Electrical Room - Ceiling,Copper Plant,Systimax,1 Port Copper Data Jack,,760,,,,,Holyoke,100 Bigelow Street,1,Front,,,,,,,,,,,,2021-12-16 00:00,2022-05-25 14:50,False,False,False,False,,None,None,False
pxg600e-01-8c-4a,Active,MGHPCC,Main Building,153 - Electrical Room,SUB-NF1,Other,Eaton,PXG600E,10.1.5.149/22,3355,,,111110-101450,,Holyoke,100 Bigelow Street,2,Front,,10.1.5.149/22,,,,,,,,,,2022-10-13 19:36,2022-12-15 18:09,False,False,False,False,,None,None,False
1090-1,Active,MGHPCC,Main Building,153 - Electrical Room,Electrical 1,Copper Plant,Systimax,2 Port Copper Data Jack,,605,,,,,Holyoke,100 Bigelow Street,14,Front,,,,,,,,,,,,2020-10-05 00:00,2020-10-05 14:00,,,,,,,,
1088-1,Active,MGHPCC,Main Building,153 - Electrical Room,SUB-NF1,Copper Plant,Systimax,2 Port Copper Data Jack,,607,,,,,Holyoke,100 Bigelow Street,3,Front,,,,,,,,,,,,2020-10-05 00:00,2022-12-15 17:55,,,,,,,,
Ceiling unlabeled (probably ER2),Active,MGHPCC,Main Building,153 - Electrical Room,Electrical 1,Copper Plant,Systimax,2 Port Copper Data Jack,,614,,,,,Holyoke,100 Bigelow Street,5,Front,,,,,,,,,,,,2020-10-05 00:00,2020-10-05 14:05,,,,,,,,
1089-1,Active,MGHPCC,Main Building,153 - Electrical Room,Electrical 1,Copper Plant,Systimax,2 Port Copper Data Jack,,606,,,,,Holyoke,100 Bigelow Street,13,Front,,,,,,,,,,,,2020-10-05 00:00,2020-10-05 14:00,,,,,,,,
1183-1,Active,MGHPCC,Main Building,153 - Electrical Room,Electrical 1,Copper Plant,Systimax,2 Port Copper Data Jack,,612,,,,,Holyoke,100 Bigelow Street,7,Front,,,,,,,,,,,,2020-10-05 00:00,2020-10-05 14:03,,,,,,,,
1084-1,Active,MGHPCC,Main Building,153 - Electrical Room,Electrical 1,Copper Plant,Systimax,2 Port Copper Data Jack,,611,,,,,Holyoke,100 Bigelow Street,8,Front,,,,,,,,,,,,2020-10-05 00:00,2020-10-05 13:58,,,,,,,,
pxg400e-01-8e-92,Active,MGHPCC,Main Building,153 - Electrical Room,SUB-GF,Power Meter,Eaton,PXG400E,10.1.5.47/22,3356,,,111209-102034,,Holyoke,100 Bigelow Street,2,Front,,10.1.5.47/22,,,,,,,,,,2022-10-13 19:43,2023-07-13 17:22,False,False,False,False,,None,None,False
APa49bcd2c6ed4,Active,MGHPCC,Main Building,153 - Electrical Room,Electrical Room - Ceiling,Access Point,Cisco,C9115AXI-B,,1535,,,FJC254713D4,,Holyoke,100 Bigelow Street,4,Front,,,,,,,,,,,,2022-03-10 00:00,2022-05-25 14:57,False,False,False,False,,None,None,False
1087-1,Active,MGHPCC,Main Building,153 - Electrical Room,SUB-NF1,Copper Plant,Systimax,2 Port Copper Data Jack,,608,,,,,Holyoke,100 Bigelow Street,1,Front,,,,,,,,,,,,2020-10-05 00:00,2022-10-13 19:28,,,,,,,,
APa49bcd2c25c4,Active,MGHPCC,Main Building,153 - Electrical Room,Electrical Room - Ceiling,Access Point,Cisco,C9115AXI-B,,1522,,,FJC254713CU,,Holyoke,100 Bigelow Street,8,Front,,,,,,,,,,,,2022-03-10 00:00,2022-06-01 13:50,False,False,False,False,,None,None,False
1120-1 (ceiling),Active,MGHPCC,Main Building,153 - Electrical Room,Electrical Room - Ceiling,Copper Plant,Systimax,1 Port Copper Data Jack,,603,,,,,Holyoke,100 Bigelow Street,7,Front,,,,,,,,,,,,2020-10-05 00:00,2022-06-01 13:49,,,,,,,,
1086-1,Active,MGHPCC,Main Building,153 - Electrical Room,Electrical 1,Copper Plant,Systimax,2 Port Copper Data Jack,,609,,,,,Holyoke,100 Bigelow Street,10,Front,,,,,,,,,,,,2020-10-05 00:00,2020-10-05 13:59,,,,,,,,
